iter	Logloss
0	0.6794096783
1	0.6667897974
2	0.6546037113
3	0.6436609853
4	0.6325593058
5	0.6220343938
6	0.6122852188
7	0.602547648
8	0.5936386691
9	0.5857481963
10	0.578049472
11	0.5699066869
12	0.5630076126
13	0.5570824118
14	0.5507347496
15	0.5441572183
16	0.5394861011
17	0.5339575338
18	0.5287821689
19	0.5241485155
20	0.5197146197
21	0.5149715165
22	0.5107047385
23	0.5064696838
24	0.5026075222
25	0.4991846545
26	0.4950152143
27	0.4915718299
28	0.4884918995
29	0.4853049519
30	0.4823010086
31	0.4789012626
32	0.4760975838
33	0.4734554053
34	0.4705803066
35	0.468243132
36	0.466090634
37	0.4637001838
38	0.4616982033
39	0.4597691975
40	0.4579041703
41	0.4560979836
42	0.4542143034
43	0.4525587008
44	0.4507986889
45	0.4495766037
46	0.4479377051
47	0.4463788125
48	0.445170416
49	0.443758527
50	0.4423790299
51	0.4411467086
52	0.4398228786
53	0.4386619551
54	0.4374848788
55	0.4362683605
56	0.4354036474
57	0.434537817
58	0.4333474251
59	0.4323741182
60	0.4314485256
61	0.4305420508
62	0.4296204112
63	0.4287873916
64	0.4279615185
65	0.4272424125
66	0.4263901706
67	0.4254817195
68	0.4247639398
69	0.4239399375
70	0.4232138946
71	0.4224325726
72	0.4218067793
73	0.4210980137
74	0.4205114724
75	0.4199804938
76	0.4192583663
77	0.4188351202
78	0.4182465132
79	0.4176828676
80	0.4171491624
81	0.4165388991
82	0.4161817101
83	0.4156961027
84	0.4152037448
85	0.4147468671
86	0.4141914445
87	0.4136691357
88	0.413228888
89	0.4127430079
90	0.4122530701
91	0.4119068922
92	0.4115160419
93	0.4110095062
94	0.4106006903
95	0.4101193297
96	0.4096499891
97	0.4092978516
98	0.4089730321
99	0.408480494
100	0.4080211849
101	0.4076763291
102	0.4073857205
103	0.4070991182
104	0.4067699642
105	0.4063991425
106	0.4061332783
107	0.4057828881
108	0.4055625871
109	0.4052503703
110	0.4051122149
111	0.4047835755
112	0.4045823084
113	0.4042323703
114	0.4038807753
115	0.4037437769
116	0.4034475304
117	0.4032419643
118	0.4029900581
119	0.4026912653
120	0.4024518199
121	0.4024109104
122	0.4020965987
123	0.4016931868
124	0.4014631955
125	0.4011601082
126	0.4008783508
127	0.4005902113
128	0.4001909831
129	0.3999758139
130	0.3997406318
131	0.3994280938
132	0.3991671864
133	0.3989765415
134	0.3987304298
135	0.3984095509
136	0.3981717463
137	0.397936266
138	0.3976709395
139	0.3974074358
140	0.3973837076
141	0.3971049709
142	0.3969203124
143	0.3967160644
144	0.3964849012
145	0.3962855888
146	0.3960011153
147	0.3958093775
148	0.395600672
149	0.3955653333
150	0.395363499
151	0.3953381228
152	0.3951566529
153	0.3949494867
154	0.3947119178
155	0.3943712983
156	0.3943513728
157	0.3942250202
158	0.3939843729
159	0.3938019725
160	0.3936109991
161	0.3935266204
162	0.3932793016
163	0.3932310994
164	0.3930743336
165	0.3927796112
166	0.3926696705
167	0.392492399
168	0.3923072564
169	0.3921714767
170	0.3919807173
171	0.3919417624
172	0.391794257
173	0.3916598303
174	0.3914761175
175	0.3913205679
176	0.3912034858
177	0.3909915922
178	0.3907646819
179	0.3906235733
180	0.3904134679
181	0.3902007722
182	0.389953566
183	0.3898075116
184	0.3896951307
185	0.3896799466
186	0.3893827959
187	0.3891318951
188	0.3888867822
189	0.3887795748
190	0.3885811773
191	0.3884068891
192	0.3882152109
193	0.3880407154
194	0.3878478304
195	0.3876847289
196	0.3875030649
197	0.3873830994
198	0.3871982019
199	0.3870292606
200	0.386952278
201	0.3868327469
202	0.3866139222
203	0.3864985541
204	0.386310865
205	0.3860907945
206	0.3858985901
207	0.3857483028
208	0.3855778068
209	0.3854237329
210	0.3852701691
211	0.3850462518
212	0.3848610053
213	0.3846861209
214	0.3845190271
215	0.3844060655
216	0.3842154998
217	0.3840479817
218	0.3838461493
219	0.3836885176
220	0.3834906387
221	0.3833570704
222	0.3832803713
223	0.383116833
224	0.3829295345
225	0.3828065858
226	0.3826230536
227	0.3825132368
228	0.3823819974
229	0.3822230436
230	0.3822230021
