iter	Passed	Remaining
0	66	66017
1	71	35632
2	79	26282
3	85	21284
4	92	18435
5	96	15923
6	102	14594
7	106	13225
8	110	12220
9	115	11395
10	120	10847
11	125	10355
12	127	9683
13	131	9229
14	135	8926
15	140	8667
16	142	8237
17	144	7870
18	146	7570
19	150	7367
20	152	7094
21	154	6888
22	157	6672
23	159	6502
24	163	6381
25	167	6258
26	169	6110
27	172	5979
28	174	5828
29	175	5686
30	177	5554
31	180	5454
32	182	5339
33	185	5278
34	187	5181
35	192	5151
36	194	5071
37	198	5013
38	200	4935
39	203	4883
40	205	4802
41	207	4724
42	208	4650
43	211	4588
44	213	4521
45	215	4459
46	217	4419
47	219	4360
48	221	4302
49	223	4247
50	225	4197
51	228	4161
52	230	4114
53	233	4083
54	235	4040
55	237	3995
56	238	3951
57	241	3917
58	243	3879
59	245	3839
60	247	3802
61	249	3780
62	251	3744
63	253	3708
64	255	3673
65	257	3645
66	261	3641
67	265	3642
68	267	3611
69	269	3579
70	271	3548
71	273	3519
72	276	3514
73	282	3529
74	283	3502
75	288	3505
76	291	3495
77	294	3479
78	299	3490
79	302	3480
80	304	3456
81	309	3465
82	312	3457
83	315	3437
84	317	3417
85	321	3419
86	327	3432
87	329	3419
88	332	3400
89	336	3397
90	340	3403
91	344	3404
92	347	3385
93	349	3365
94	350	3342
95	354	3342
96	359	3346
97	361	3327
98	363	3306
99	365	3286
100	367	3268
101	370	3264
102	373	3256
103	376	3239
104	378	3226
105	380	3212
106	382	3195
107	388	3208
108	392	3204
109	394	3189
110	395	3169
111	397	3151
112	399	3135
113	403	3137
114	407	3136
115	410	3127
116	412	3111
117	414	3094
118	416	3087
119	418	3072
120	420	3057
121	423	3046
122	425	3035
123	427	3019
124	429	3004
125	431	2993
126	434	2984
127	436	2970
128	440	2972
129	442	2958
130	443	2944
131	445	2930
132	451	2944
133	455	2942
134	458	2940
135	461	2930
136	465	2931
137	471	2943
138	473	2931
139	477	2934
140	480	2925
141	484	2928
142	488	2927
143	492	2925
144	497	2933
145	502	2941
146	504	2929
147	506	2918
148	512	2925
149	516	2924
150	520	2925
151	523	2918
152	527	2918
153	530	2915
154	533	2905
155	534	2894
156	536	2879
157	538	2867
158	541	2866
159	547	2875
160	549	2865
161	553	2862
162	555	2851
163	556	2838
164	560	2834
165	564	2834
166	565	2822
167	567	2811
168	569	2799
169	571	2788
170	575	2792
171	577	2779
172	582	2782
173	583	2771
174	585	2760
175	587	2750
176	592	2756
177	597	2759
178	600	2756
179	603	2747
180	605	2739
181	608	2735
182	612	2736
183	617	2737
184	620	2733
185	622	2723
186	624	2714
187	626	2707
188	629	2701
189	631	2692
190	633	2682
191	635	2673
192	637	2666
193	640	2660
194	642	2652
195	647	2655
196	649	2645
197	653	2645
198	656	2642
199	660	2641
200	662	2632
201	666	2631
202	670	2630
203	675	2637
204	679	2635
205	681	2626
206	684	2624
207	689	2627
208	692	2620
209	694	2611
210	698	2613
211	705	2620
212	709	2621
213	712	2618
214	715	2611
215	719	2611
216	723	2610
217	725	2601
218	727	2594
219	730	2589
220	733	2585
221	739	2592
222	745	2595
223	751	2604
224	756	2604
225	758	2596
226	759	2587
227	763	2584
228	770	2595
229	775	2594
230	777	2587
231	781	2585
232	783	2578
233	786	2574
234	790	2572
235	792	2565
236	794	2558
237	798	2555
238	801	2551
239	804	2546
240	806	2538
241	808	2531
242	810	2524
243	815	2525
244	817	2520
245	820	2515
246	822	2507
247	824	2499
248	827	2495
249	829	2489
250	831	2481
251	836	2482
252	838	2475
253	840	2467
254	842	2460
255	847	2464
256	850	2457
257	852	2451
258	857	2452
259	859	2447
260	866	2452
261	869	2450
262	872	2444
263	875	2440
264	881	2445
265	884	2439
266	888	2438
267	893	2440
268	898	2441
269	900	2434
270	904	2432
271	906	2426
272	910	2424
273	915	2425
274	917	2417
275	918	2410
276	921	2405
277	925	2403
278	930	2405
279	932	2397
280	934	2390
281	937	2386
282	941	2384
283	945	2384
284	947	2377
285	949	2370
286	951	2362
287	953	2358
288	957	2355
289	960	2352
290	965	2351
291	967	2346
292	969	2340
293	974	2339
294	978	2338
295	980	2332
296	982	2325
297	985	2322
298	989	2320
299	992	2316
300	995	2312
301	998	2307
302	1000	2302
303	1005	2301
304	1008	2297
305	1010	2290
306	1011	2284
307	1014	2278
308	1017	2275
309	1020	2271
310	1024	2269
311	1026	2262
312	1028	2256
313	1033	2257
314	1037	2255
315	1042	2256
316	1046	2254
317	1049	2250
318	1054	2250
319	1057	2247
320	1060	2242
321	1064	2242
322	1071	2245
